sale_id,customer_id,sale_date,total_amount,payment_method
145,335,2025-10-29,625.46,Credit Card
146,161,2025-09-22,662.46,PayPal
147,361,2026-02-17,454.45,Credit Card
148,500,2026-02-13,716.53,Bank Transfer
149,749,2025-11-27,680.23,Debit Card
150,332,2025-04-22,308.47,PayPal
151,762,2025-06-11,101.06,Credit Card
152,316,2025-07-21,94.77,Debit Card
153,56,2025-10-15,183.42,Bank Transfer
154,498,2025-12-02,265.52,PayPal
155,44,2025-04-30,780.33,PayPal
156,243,2026-01-12,719.12,Bank Transfer
157,526,2026-03-12,427.03,PayPal
158,1000,2025-03-19,492.46,Bank Transfer
159,827,2025-09-27,773.99,Unknown
160,817,2025-11-29,227.98,Bank Transfer
161,646,2025-07-12,330.73,Bank Transfer
162,204,2025-06-24,536.99,Bank Transfer
163,128,2025-11-29,109.36,Bank Transfer
164,619,2025-04-26,324.78,Bank Transfer
165,509,2025-08-13,263.23,Debit Card
166,66,2025-08-06,187.12,Bank Transfer
167,499,2025-08-30,106.8,Debit Card
168,740,2025-07-03,236.56,PayPal
169,373,2026-01-24,698.39,PayPal
170,937,2025-04-28,555.32,Debit Card
171,976,2025-09-11,458.55,PayPal
172,709,2025-11-07,564.62,Credit Card
173,714,2025-05-12,384.29,Credit Card
174,925,2025-06-10,625.23,PayPal
175,838,2025-03-18,664.57,PayPal
176,710,2026-01-06,339.28,PayPal
177,463,2025-05-28,595.7,Debit Card
178,986,2026-01-05,183.27,Credit Card
179,867,2025-04-08,61.74,Bank Transfer
180,892,2026-01-07,295.56,Bank Transfer
181,988,2025-12-07,110.88,Credit Card
182,549,2025-06-27,53.33,Credit Card
183,397,2025-05-18,20.91,Bank Transfer
184,152,2025-04-02,278.54,Debit Card
185,293,2025-07-10,260.41,Debit Card
186,102,2025-10-28,721.89,Bank Transfer
187,837,2025-11-22,151.12,Bank Transfer
188,360,2026-02-24,660.62,PayPal
189,118,2025-06-04,534.19,Credit Card
190,855,2025-12-01,157.15,PayPal
191,774,2025-09-24,540.51,Debit Card
192,768,2025-04-08,763.55,PayPal
193,172,2025-10-06,777.29,Bank Transfer
194,992,2026-01-16,389.28,PayPal
195,496,2025-12-23,49.31,Bank Transfer
196,8,2025-11-26,76.65,Credit Card
197,60,2025-04-01,601.8,PayPal
198,159,2025-12-18,334.53,Credit Card
199,542,2025-07-07,72.81,Debit Card
200,129,2025-05-18,664.24,PayPal
201,267,2025-09-06,213.94,Bank Transfer
202,703,2025-08-26,680.6,Credit Card
203,373,2025-07-03,168.38,PayPal
204,919,2026-02-25,796.02,PayPal
205,214,2025-05-15,717.58,Credit Card
206,946,2025-10-05,570.86,Credit Card
207,642,2025-12-23,670.99,PayPal
208,51,2025-12-28,350.33,Debit Card
209,678,2025-08-06,567.08,Credit Card
210,939,2025-05-24,61.67,Unknown
211,101,2025-10-18,490.61,Credit Card
212,602,2025-06-12,361.88,Bank Transfer
213,240,2026-03-13,420.26,Credit Card
214,236,2025-08-14,378.01,PayPal
215,595,2026-02-10,759.74,Credit Card
216,585,2026-01-23,326.3,Credit Card
217,294,2025-04-04,352.04,Credit Card
218,357,2025-07-22,142.87,PayPal
219,422,2025-06-04,183.91,Credit Card
220,191,2025-08-08,502.23,PayPal
221,983,2025-08-07,373.83,Credit Card
222,562,2025-09-08,225.11,Credit Card
223,842,2025-05-25,38.55,Credit Card
224,812,2026-01-11,710.47,Credit Card
225,920,2025-03-23,269.88,PayPal
226,130,2025-06-25,666.62,Bank Transfer
227,517,2025-11-11,618.48,Debit Card
228,500,2025-09-24,315.89,Debit Card
229,142,2025-05-29,773.68,Credit Card
230,59,2025-05-28,382.43,Credit Card
231,693,2026-02-11,546.95,Credit Card
232,439,2025-05-23,674.82,Credit Card
233,732,2026-02-09,531.85,Credit Card
234,578,2025-11-02,539.34,Bank Transfer
235,171,2025-04-04,223.89,PayPal
236,170,2026-02-25,276.21,Credit Card
237,867,2025-06-16,675.44,Debit Card
238,479,2025-03-16,694.3,Debit Card
239,346,2025-07-16,24.95,Unknown
240,884,2025-11-25,76.29,Credit Card
241,690,2025-06-28,468.09,Debit Card
242,569,2025-10-11,318.24,Debit Card
243,237,2025-08-02,102.67,Bank Transfer
244,501,2025-12-18,135.46,PayPal
245,783,2025-09-12,614.82,PayPal
246,534,2025-07-01,526.08,PayPal
247,831,2025-05-10,537.25,Credit Card
248,894,2025-10-30,748.36,Debit Card
249,836,2025-05-05,81.27,Credit Card
250,925,2026-01-22,498.52,Unknown
251,585,2025-08-13,470.42,Debit Card
252,834,2025-04-11,549.08,Unknown
253,690,2025-05-16,391.58,Credit Card
254,730,2025-06-06,65.72,Unknown
255,693,2025-10-22,262.8,Unknown
256,224,2025-11-10,696.32,PayPal
257,446,2025-09-30,613.96,Debit Card
258,193,2025-04-17,770.17,PayPal
259,538,2026-03-04,88.16,Bank Transfer
260,768,2026-03-05,393.49,Credit Card
261,660,2026-01-17,600.19,Bank Transfer
262,125,2025-05-04,615.28,Debit Card
263,499,2025-12-18,611.64,Debit Card
264,315,2025-06-20,712.41,Debit Card
265,87,2025-09-14,418.81,Credit Card
266,395,2025-11-14,766.5,PayPal
267,488,2025-06-30,235.2,PayPal
268,104,2025-03-23,277.81,Debit Card
269,889,2026-02-26,458.03,Credit Card
270,465,2025-11-30,199.81,Unknown
271,845,2025-08-05,228.18,Credit Card
272,407,2025-05-01,506.66,Bank Transfer
273,318,2025-03-25,225.19,Bank Transfer
274,993,2025-03-18,735.82,PayPal
275,567,2025-08-16,732.07,Unknown
276,902,2025-09-23,732.69,Bank Transfer
277,315,2025-11-17,510.72,Bank Transfer
278,121,2025-09-28,676.61,Credit Card
279,836,2026-03-02,762.0,Debit Card
280,498,2025-06-02,87.37,PayPal
281,61,2026-01-03,484.5,Debit Card
282,851,2025-09-07,553.89,Credit Card
283,358,2025-11-08,79.21,Debit Card
284,299,2026-01-05,31.15,Unknown
285,413,2025-10-11,284.1,Bank Transfer
286,833,2025-12-14,244.01,Credit Card
287,190,2025-12-26,389.62,Debit Card
288,648,2025-09-08,569.83,Bank Transfer
289,850,2026-02-12,766.79,PayPal
290,52,2025-07-19,721.86,Debit Card
291,960,2025-08-21,507.42,Debit Card
292,794,2025-06-18,594.97,PayPal
293,741,2025-07-02,784.48,PayPal
294,54,2025-03-29,263.15,Debit Card
295,582,2026-01-31,54.66,PayPal
296,117,2025-05-16,113.49,Unknown
297,71,2026-01-17,490.99,Debit Card
298,186,2025-06-06,715.94,Debit Card
299,963,2025-03-24,307.36,Credit Card
300,1000,2025-10-17,349.46,Credit Card
301,130,2025-04-23,455.22,Credit Card
302,233,2025-12-20,465.09,PayPal
303,428,2025-04-30,761.95,Debit Card
304,164,2025-12-06,675.05,Credit Card
305,558,2025-10-08,386.22,Bank Transfer
306,591,2025-08-21,730.89,Bank Transfer
307,699,2025-07-04,383.19,Debit Card
308,552,2026-03-12,612.19,Bank Transfer
309,845,2025-08-14,798.02,Bank Transfer
310,61,2025-10-17,206.92,Bank Transfer
311,816,2025-03-30,612.79,Bank Transfer
312,79,2025-05-01,231.02,Credit Card
313,43,2025-11-06,762.81,Credit Card
314,785,2025-05-17,488.25,Bank Transfer
315,285,2025-09-10,665.34,Debit Card
316,86,2025-08-26,361.93,PayPal
317,735,2025-10-15,66.21,Debit Card
318,129,2025-04-07,152.3,Debit Card
319,454,2026-03-10,100.12,Credit Card
320,254,2025-10-01,247.36,PayPal
321,692,2025-04-30,605.21,Credit Card
322,414,2025-04-21,45.79,PayPal
323,178,2025-05-13,357.26,Credit Card
324,941,2026-02-08,444.06,Credit Card
325,189,2025-07-08,538.9,Credit Card
326,440,2025-06-09,365.02,Bank Transfer
327,210,2025-06-26,281.54,Bank Transfer
328,728,2025-03-15,540.11,Debit Card
329,169,2026-01-14,191.59,Credit Card
330,129,2025-06-18,672.51,Debit Card
331,138,2026-02-11,486.06,Bank Transfer
332,525,2025-09-18,775.45,Bank Transfer
333,640,2025-08-04,685.29,Debit Card
334,813,2025-04-16,411.15,Bank Transfer
335,478,2025-07-21,408.92,Bank Transfer
336,720,2025-05-10,666.71,Debit Card
337,875,2025-05-04,281.77,Bank Transfer
338,252,2025-12-19,555.55,PayPal
339,131,2025-04-17,75.22,Credit Card
340,544,2026-01-06,377.26,Debit Card
341,398,2026-02-03,483.6,Debit Card
342,953,2026-01-27,486.99,Credit Card
343,821,2025-05-19,684.93,Debit Card
344,672,2025-06-17,468.52,Bank Transfer
345,116,2025-06-17,610.59,Bank Transfer
346,980,2025-05-04,376.84,Debit Card
347,245,2026-03-02,754.19,Credit Card
348,227,2025-08-22,351.32,Bank Transfer
349,989,2025-09-07,374.18,Bank Transfer
350,179,2025-08-16,791.94,PayPal
351,527,2026-02-16,107.99,Bank Transfer
352,11,2025-09-23,68.76,Credit Card
353,341,2025-07-14,790.15,Credit Card
354,460,2025-03-31,575.05,PayPal
355,672,2025-04-06,225.95,Credit Card
356,835,2026-01-08,568.82,PayPal
357,268,2026-01-08,248.34,Credit Card
358,238,2026-01-11,176.19,PayPal
359,66,2025-06-04,684.4,Credit Card
360,831,2025-06-03,692.49,Bank Transfer
361,401,2025-05-15,178.12,Unknown
362,684,2025-10-08,28.57,PayPal
363,363,2026-02-18,650.06,PayPal
364,20,2025-05-16,83.96,PayPal
365,734,2025-12-13,471.28,Bank Transfer
366,662,2025-07-14,456.78,Credit Card
367,545,2025-12-15,674.19,Credit Card
368,716,2025-09-19,148.26,Credit Card
369,882,2025-09-20,557.54,Bank Transfer
370,405,2025-07-06,621.54,Debit Card
371,531,2025-09-13,595.73,Credit Card
372,747,2025-12-10,585.63,Debit Card
373,629,2026-02-16,678.84,Debit Card
374,916,2025-09-20,122.53,Bank Transfer
375,962,2025-11-04,499.34,Debit Card
376,175,2026-01-08,728.81,Unknown
377,392,2025-06-19,736.18,Debit Card
378,696,2025-10-19,655.62,Debit Card
379,80,2025-11-13,73.35,Debit Card
380,216,2026-02-23,438.88,Debit Card
381,410,2025-12-16,66.94,Debit Card
382,329,2025-07-30,109.19,PayPal
383,916,2025-09-10,68.89,Credit Card
384,812,2025-04-21,656.97,Bank Transfer
385,162,2025-08-08,317.66,PayPal
386,544,2026-02-02,57.4,Debit Card
387,985,2025-07-19,408.87,PayPal
388,197,2025-05-11,717.44,Credit Card
389,887,2025-07-20,43.86,PayPal
390,755,2025-08-27,358.14,Debit Card
391,807,2025-10-07,129.16,Credit Card
392,630,2025-12-09,566.39,Credit Card
393,863,2025-04-27,716.9,Bank Transfer
394,105,2025-03-30,430.87,Bank Transfer
395,652,2025-03-27,358.38,Bank Transfer
396,633,2025-03-16,123.52,Debit Card
397,306,2025-09-19,509.94,Debit Card
398,238,2025-08-31,745.53,Debit Card
399,388,2025-07-19,671.27,Bank Transfer
400,133,2025-12-05,583.97,Bank Transfer
401,340,2026-02-07,291.53,Credit Card
402,823,2025-03-14,588.14,Credit Card
403,671,2025-10-13,189.67,Bank Transfer
404,178,2025-08-10,420.24,Debit Card
405,933,2025-11-13,68.62,PayPal
406,716,2025-08-28,256.43,Credit Card
407,216,2025-09-03,747.18,Credit Card
408,763,2025-10-31,276.63,Bank Transfer
409,196,2025-05-14,99.7,Credit Card
410,296,2025-11-25,64.19,PayPal
411,98,2025-09-08,233.52,Bank Transfer
412,382,2025-04-01,272.17,Bank Transfer
413,534,2025-12-06,116.38,Bank Transfer
414,252,2025-07-03,586.65,PayPal
415,330,2025-11-16,637.16,PayPal
416,495,2025-09-10,414.15,Debit Card
417,224,2025-05-13,699.64,Bank Transfer
418,562,2025-09-07,98.74,PayPal
419,888,2025-09-28,383.48,Bank Transfer
420,951,2026-02-17,423.77,Bank Transfer
421,438,2025-03-14,697.91,Bank Transfer
422,607,2025-04-30,283.75,Bank Transfer
423,518,2025-09-30,496.03,PayPal
424,971,2025-04-21,488.99,Debit Card
425,470,2025-06-30,130.33,Bank Transfer
426,249,2025-07-26,751.77,Bank Transfer
427,710,2025-05-18,599.92,Debit Card
428,705,2026-01-03,794.49,Unknown
429,321,2025-07-05,347.33,PayPal
430,784,2026-03-02,382.89,Credit Card
431,667,2025-08-27,212.5,Debit Card
432,200,2025-03-26,155.37,Bank Transfer
433,136,2025-07-14,90.9,Bank Transfer
434,543,2025-04-01,734.05,Bank Transfer
435,417,2026-01-31,536.32,Bank Transfer
436,829,2025-06-30,544.25,Debit Card
437,995,2025-05-17,53.64,Unknown
438,931,2025-06-17,749.82,Unknown
439,953,2025-09-30,646.56,PayPal
440,582,2025-10-10,740.58,Credit Card
441,919,2025-07-28,565.63,Bank Transfer
442,229,2025-10-15,208.87,Credit Card
443,725,2025-08-28,607.68,Bank Transfer
444,456,2025-06-27,292.33,Bank Transfer
445,368,2025-07-10,470.12,Bank Transfer
446,533,2025-07-12,549.84,Bank Transfer
447,572,2026-02-02,209.66,Credit Card
448,782,2025-03-18,350.93,PayPal
449,573,2026-01-06,693.4,PayPal
450,8,2025-04-13,230.13,Bank Transfer
451,588,2026-03-12,568.54,Debit Card
452,810,2025-10-10,140.83,Debit Card
453,196,2026-02-25,169.66,Credit Card
454,453,2025-09-09,57.73,PayPal
455,734,2025-11-16,599.43,Debit Card
456,337,2026-01-28,647.34,Bank Transfer
457,876,2025-10-23,520.1,PayPal
458,990,2025-03-28,556.11,PayPal
459,608,2025-08-29,194.2,Credit Card
460,640,2025-11-11,376.37,PayPal
461,18,2026-03-10,411.91,Bank Transfer
462,255,2026-01-20,530.64,PayPal
463,571,2025-09-24,738.26,Credit Card
464,752,2025-11-14,580.02,Bank Transfer
465,87,2025-09-03,415.79,Credit Card
466,32,2025-11-16,221.46,Unknown
467,375,2026-01-09,788.74,Credit Card
468,760,2026-01-10,752.58,Credit Card
469,722,2025-11-08,422.44,Debit Card
470,815,2025-06-11,193.67,Bank Transfer
471,408,2026-03-13,733.55,Debit Card
472,195,2025-07-03,602.53,PayPal
473,168,2025-05-11,329.74,PayPal
474,461,2025-08-01,174.19,PayPal
475,825,2026-02-20,530.93,PayPal
476,809,2025-04-11,294.7,Debit Card
477,23,2025-08-09,326.1,Bank Transfer
478,926,2025-10-31,180.75,Bank Transfer
479,408,2025-09-24,795.65,Debit Card
480,398,2025-03-24,220.01,PayPal
481,332,2025-11-20,445.58,PayPal
482,209,2025-09-30,489.2,Credit Card
483,219,2025-11-21,577.26,Bank Transfer
484,946,2025-05-10,361.41,Bank Transfer
485,319,2025-10-07,320.59,Debit Card
486,164,2025-11-08,85.62,Bank Transfer
487,235,2025-06-28,280.38,Bank Transfer
488,691,2025-10-15,795.43,Debit Card
489,334,2025-06-27,729.11,PayPal
490,714,2025-09-16,210.39,Debit Card
491,247,2025-04-30,726.81,Debit Card
492,541,2025-07-05,467.27,PayPal
493,99,2025-05-18,730.59,Credit Card
494,627,2026-03-12,646.98,PayPal
495,611,2025-06-04,440.54,Debit Card
496,972,2025-05-04,475.5,Bank Transfer
497,103,2026-03-05,315.71,Debit Card
498,369,2025-05-21,603.47,Debit Card
499,193,2025-08-12,783.75,Debit Card
500,116,2025-06-29,216.43,PayPal
501,952,2026-02-03,733.62,PayPal
502,802,2025-11-19,535.84,Credit Card
503,323,2025-12-05,715.67,Debit Card
504,76,2025-06-16,779.61,PayPal
505,395,2026-03-11,110.27,Credit Card
506,226,2025-03-30,611.27,PayPal
507,732,2025-12-21,320.44,PayPal
508,512,2025-09-24,659.33,PayPal
509,957,2026-01-13,159.27,PayPal
510,369,2026-01-05,656.86,PayPal
511,455,2025-05-12,299.92,PayPal
512,327,2026-03-12,204.74,PayPal
513,761,2025-04-05,361.58,Debit Card
514,628,2025-08-01,126.58,PayPal
515,711,2025-06-07,230.17,Debit Card
516,277,2025-12-30,703.85,PayPal
517,555,2025-06-16,344.69,Bank Transfer
518,542,2025-07-05,263.71,Credit Card
519,314,2025-09-21,790.14,Unknown
520,161,2025-07-15,757.04,PayPal
521,528,2025-08-29,428.47,Unknown
522,761,2025-04-09,169.0,Credit Card
523,921,2025-12-18,353.83,PayPal
524,512,2025-12-04,98.76,Debit Card
525,298,2025-05-31,417.29,Unknown
526,791,2025-09-03,341.96,Credit Card
527,565,2025-05-25,383.27,Bank Transfer
528,373,2025-12-21,275.87,PayPal
529,685,2025-08-02,751.94,PayPal
530,673,2025-06-30,362.88,Credit Card
531,651,2026-02-25,393.45,Unknown
532,313,2025-05-23,553.79,Bank Transfer
533,807,2025-07-23,388.29,Debit Card
534,66,2026-02-23,555.86,Credit Card
535,487,2026-01-17,305.52,PayPal
536,452,2025-07-23,608.64,Debit Card
537,286,2025-07-23,103.97,Debit Card
538,255,2025-11-08,735.04,PayPal
539,9,2026-02-05,652.54,PayPal
540,510,2025-11-09,751.24,Credit Card
541,648,2025-07-31,160.07,PayPal
542,777,2025-12-12,608.16,Bank Transfer
543,412,2025-03-23,666.9,Credit Card
544,387,2025-07-24,255.32,PayPal
545,837,2026-01-30,230.99,Debit Card
546,777,2025-04-17,525.97,Bank Transfer
547,407,2026-01-15,659.75,PayPal
548,180,2025-05-06,750.94,PayPal
549,887,2026-03-05,345.85,Debit Card
550,13,2025-11-13,607.73,Credit Card
551,687,2025-03-22,175.95,Debit Card
552,533,2025-05-27,18.52,Debit Card
553,386,2026-03-11,707.75,PayPal
554,37,2025-12-19,732.61,Bank Transfer
555,365,2025-03-28,293.33,Credit Card
556,879,2025-07-07,799.88,PayPal
557,94,2025-05-17,726.68,PayPal
558,833,2026-02-20,400.29,PayPal
559,35,2025-08-29,753.17,Debit Card
560,159,2025-06-28,448.91,PayPal
561,683,2026-01-10,46.22,Bank Transfer
562,63,2025-10-04,703.73,Debit Card
563,921,2026-02-27,664.6,Debit Card
564,658,2025-12-19,122.47,Unknown
565,197,2026-02-08,130.5,Debit Card
566,833,2025-10-18,225.55,Credit Card
567,251,2025-12-01,377.31,PayPal
568,601,2025-10-20,82.7,Credit Card
569,402,2025-05-13,325.25,Credit Card
570,631,2025-05-29,309.77,Credit Card
571,630,2025-11-24,106.02,Debit Card
572,610,2025-06-26,499.85,Bank Transfer
573,99,2025-04-12,750.04,Debit Card
574,740,2025-05-31,737.49,Credit Card
575,915,2026-02-11,367.06,PayPal
576,643,2026-02-17,773.45,Credit Card
577,921,2025-06-05,313.48,Bank Transfer
578,484,2025-04-22,613.11,Credit Card
579,684,2025-06-10,444.77,Debit Card
580,856,2025-04-14,488.56,Credit Card
581,994,2025-12-02,334.3,Bank Transfer
582,863,2025-12-14,495.77,Credit Card
583,880,2025-10-30,112.54,Debit Card
584,994,2025-08-17,782.65,Debit Card
585,398,2025-06-13,508.7,Credit Card
586,96,2025-09-05,580.49,PayPal
587,833,2026-01-10,182.83,Debit Card
588,4,2025-11-05,321.19,Credit Card
589,32,2025-11-01,527.01,PayPal
590,528,2025-07-24,740.67,Credit Card
591,785,2025-07-20,757.79,Bank Transfer
592,689,2025-05-10,646.99,Credit Card
593,203,2025-06-24,60.07,PayPal
594,574,2025-10-10,56.28,Credit Card
595,3,2025-04-17,150.04,Bank Transfer
596,703,2025-10-14,570.15,Credit Card
597,605,2025-06-14,552.86,Credit Card
598,75,2025-09-15,61.94,Bank Transfer
599,685,2025-04-14,117.64,Debit Card
600,761,2025-05-11,172.78,Bank Transfer
601,733,2025-09-08,286.93,Bank Transfer
602,531,2025-07-10,577.81,Bank Transfer
603,775,2025-07-25,305.99,Bank Transfer
604,574,2025-06-14,197.15,Debit Card
605,663,2025-05-15,125.92,Bank Transfer
606,65,2025-05-19,460.47,Debit Card
607,857,2026-02-24,397.41,Debit Card
608,292,2025-07-25,64.68,PayPal
609,929,2025-05-02,531.85,Bank Transfer
610,28,2026-01-16,520.5,PayPal
611,367,2026-02-11,685.69,PayPal
612,43,2025-05-31,658.76,PayPal
613,572,2026-01-08,218.33,Debit Card
614,540,2025-07-25,69.92,PayPal
615,949,2025-10-24,34.38,Debit Card
616,828,2026-01-20,697.33,Credit Card
617,53,2025-06-14,641.93,PayPal
618,566,2026-01-22,332.95,PayPal
619,75,2025-09-24,708.52,PayPal
620,652,2026-03-08,539.23,Bank Transfer
621,309,2025-12-10,46.37,PayPal
622,998,2025-10-23,152.4,PayPal
623,341,2026-01-07,218.5,Debit Card
624,145,2025-04-07,273.31,Bank Transfer
625,476,2026-01-01,248.27,Credit Card
626,591,2025-08-08,100.11,PayPal
627,211,2025-08-27,410.21,Credit Card
628,36,2025-05-22,294.14,PayPal
629,667,2025-06-21,554.55,Credit Card
630,598,2025-04-24,18.22,PayPal
631,689,2026-01-21,177.99,Unknown
632,162,2025-03-28,686.02,Debit Card
633,205,2025-11-13,660.41,PayPal
634,839,2026-01-13,565.82,Debit Card
635,263,2025-08-16,507.8,Credit Card
636,213,2025-07-08,280.36,Bank Transfer
637,1000,2025-08-02,346.86,PayPal
638,174,2025-08-09,557.31,Bank Transfer
639,239,2025-04-06,577.09,Credit Card
640,325,2025-04-01,250.99,Debit Card
641,163,2025-09-15,52.39,Bank Transfer
642,179,2025-10-04,343.32,Bank Transfer
643,46,2025-07-21,696.55,Credit Card
644,119,2025-10-22,698.36,Debit Card
645,295,2026-03-07,205.1,Debit Card
646,907,2025-10-05,711.91,PayPal
647,275,2025-12-25,141.53,Credit Card
648,365,2025-11-16,130.31,Bank Transfer
649,256,2025-07-13,526.18,Bank Transfer
650,333,2025-10-20,349.86,Credit Card
651,861,2025-05-30,509.83,Credit Card
652,883,2025-05-18,291.13,Credit Card
653,274,2025-06-24,379.29,Credit Card
654,102,2025-05-27,516.49,PayPal
655,108,2026-02-04,285.36,PayPal
656,141,2025-06-01,454.65,Credit Card
657,187,2025-04-28,501.38,Credit Card
